periodo;regiao;total_urgencias;urgencias_gerais;urgencias_pediatricas;urgencias_obstetricas;urgencias_psiquiatricas;obitos;internamentos;dias_internamento;ambulatorio;mortalidade_alta;pressao_total;pressao_alta
2023-01-01;Região de Saúde Centro;90796;64834;20340;5590;32;987;13434;108464;14447;1;121898;1
2023-01-01;Região de Saúde LVT;179461;113965;51526;13507;463;1606;22985;192902;26204;1;215887;1
2023-01-01;Região de Saúde Norte;182065;141184;31448;9433;0;1767;27613;214014;31700;1;241627;1
2023-02-01;Região de Saúde Alentejo;59665;51434;7314;917;0;236;2586;20684;2236;0;23270;0
2023-02-01;Região de Saúde Algarve;57117;42967;11117;3033;0;269;2558;25105;2045;0;27663;0
2023-02-01;Região de Saúde Centro;175339;124922;39905;10469;43;852;11944;99384;12593;0;111328;0
2023-02-01;Região de Saúde LVT;350633;222198;101824;25689;922;1609;20891;182861;23332;1;203752;1
2023-02-01;Região de Saúde Norte;354706;273741;62787;18178;0;1637;24860;191828;28330;1;216688;1
2023-03-01;Região de Saúde Alentejo;92217;79332;11392;1493;0;244;2848;29548;2790;0;32396;0
2023-03-01;Região de Saúde Algarve;89745;67030;18012;4703;0;296;2904;28314;2407;0;31218;0
2023-03-01;Região de Saúde Centro;270338;191924;62331;15997;86;868;13544;114778;15073;1;128322;1
2023-03-01;Região de Saúde LVT;537771;340492;156231;39620;1428;1586;22989;204256;27750;1;227245;1
2023-03-01;Região de Saúde Norte;548253;421188;98429;28636;0;1601;27885;225197;33698;1;253082;1
2023-04-01;Região de Saúde Alentejo;121119;104252;14828;2039;0;195;2551;20095;2265;0;22646;0
2023-04-01;Região de Saúde Algarve;119674;90106;23419;6149;0;214;2527;23526;2091;0;26053;0
2023-04-01;Região de Saúde Centro;358403;255787;81128;21402;86;802;12071;96267;12596;0;108338;0
2023-04-01;Região de Saúde LVT;709676;453372;201458;52915;1931;1425;20948;186177;23585;1;207125;1
2023-04-01;Região de Saúde Norte;727201;561043;127482;38676;0;1448;24584;193616;28903;1;218200;1
2023-05-01;Região de Saúde Alentejo;153075;131543;18908;2624;0;195;2729;22631;2741;0;25360;0
